categoria,url,fecha,info,paginas
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/037220-1.pdf,2026-06-13,,200
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/047220-1.pdf,2026-06-13,,2
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/010250-1.pdf,2026-06-13,,124
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002230-3.pdf,2026-06-13,,27
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/071230-1.pdf,2026-06-13,,100
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/015260-1.pdf,2026-06-13,,156
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/004240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/027240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/006230-1.pdf,2026-06-13,,191
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/004240-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/013230-1.pdf,2026-06-13,,221
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/019250-3.pdf,2026-06-13,,12
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/030250-1.pdf,2026-06-13,,9
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/037230-1.pdf,2026-06-13,,176
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/026260-2.pdf,2026-06-13,,34
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/047220-3.pdf,2026-06-13,,18
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/015230-1.pdf,2026-06-13,,79
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/042220-3.pdf,2026-06-13,,4
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039220-1.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002240-5.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/078230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/018250-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/029250-2.pdf,2026-06-13,,15
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/024240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/028230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/066230-1.pdf,2026-06-13,,16
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002250-3.pdf,2026-06-13,,4
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/035230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/020250-3.pdf,2026-06-13,,2
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/007250-1.pdf,2026-06-13,,110
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/011240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/007240-1.pdf,2026-06-13,,5
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/013240-1.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/003250-1.pdf,2026-06-13,,95
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/049220-2.pdf,2026-06-13,,1
